Area_Name,Hour,Collision_Count
Wilshire,6,602
Wilshire,7,1347
Wilshire,8,1738
Wilshire,9,1656
Wilshire,10,1597
Wilshire,11,1836
Wilshire,12,2019
Wilshire,13,2121
Wilshire,14,2214
Wilshire,15,2429
Wilshire,16,2173
Wilshire,17,2219
Wilshire,18,2120
Wilshire,19,1902
Wilshire,20,1518
Wilshire,21,1369
Wilshire,22,1256
Wilshire,23,1097
