Address,Area_Name,Collision_Count
9TH                          ST,Central,399
SEPULVEDA,Pacific,399
FRANKLIN,Hollywood,398
OLYMPIC                      BL,Newton,396
HOOVER                       ST,Olympic,395
1ST                          ST,Hollenbeck,393
OSBORNE                      ST,Mission,392
VERNON                       AV,77th Street,392
SATICOY                      ST,Van Nuys,392
FLOWER                       ST,Central,390
OLIVE                        ST,Central,389
CAHUENGA,Hollywood,388
HOOVER                       ST,Southeast,387
120TH                        ST,Southeast,387
VISTA DEL MAR,Pacific,386
76TH                         ST,77th Street,384
CENTRAL                      AV,77th Street,384
HAUSER                       BL,Wilshire,382
SEPULVEDA,Van Nuys,382
WESTERN,Harbor,381
ADAMS                        BL,Newton,380
FIGUEROA,Central,378
NORMANDIE,77th Street,377
JEFFERSON                    BL,Pacific,376
PICO,West LA,374
SAWTELLE                     BL,West LA,370
MELROSE                      AV,Olympic,368
HOOVER                       ST,Rampart,367
FLORENCE                     AV,Newton,367
7TH                          ST,Rampart,366
VERMONT,77th Street,364
VAN NUYS,Van Nuys,363
LA BREA                      AV,Hollywood,363
FIGUEROA,Southeast,362
MASON                        AV,Topanga,359
VERMONT,Southwest,357
LA CIENEGA,Wilshire,356
MARTIN LUTHER KING JR        BL,Newton,353
FIGUEROA,Southwest,353
7TH                          ST,Olympic,353
OXFORD                       AV,Olympic,352
COLDWATER CANYON             AV,Van Nuys,352
AVALON                       BL,Harbor,351
LAUREL CANYON                BL,Hollywood,349
GRAND                        AV,Newton,349
ROSCOE,Mission,348
FAIRFAX,Wilshire,344
SAN PEDRO,Newton,342
GLENOAKS                     BL,Mission,339
CENTINELA,Pacific,337
COLFAX                       AV,N Hollywood,334
HAYVENHURST                  AV,Devonshire,328
COMPTON                      AV,Newton,327
FLETCHER                     DR,Northeast,327
RESEDA,West Valley,326
LINDLEY                      AV,Devonshire,325
PACIFIC COAST,Harbor,323
SANTA MONICA,West LA,320
VETERAN                      AV,West LA,320
MOORPARK                     ST,Van Nuys,320
HASKELL                      AV,Devonshire,319
NORMANDIE,Olympic,316
190TH                        ST,Harbor,313
WESTERN,Hollywood,312
WILCOX                       AV,Hollywood,311
ROSE                         AV,Pacific,310
OHIO                         AV,West LA,309
WINNETKA                     AV,Devonshire,309
RINALDI                      ST,Mission,308
LORENA                       ST,Hollenbeck,306
83RD                         ST,77th Street,305
VERMONT                      AV,Harbor,302
CHASE                        ST,Mission,302
SUNSET,Northeast,302
2ND                          ST,Central,301
LOMITA                       BL,Harbor,301
LAUREL CANYON,N Hollywood,301
WILTON                       PL,Hollywood,300
OLYMPIC,Olympic,299
SEPULVEDA,Mission,299
NATIONAL                     BL,West LA,299
STRATHERN                    ST,Foothill,298
CENTURY,Southeast,297
HOPE                         ST,Central,296
MELROSE,Wilshire,296
SANTA FE                     AV,Newton,294
VALERIO                      ST,Van Nuys,293
COLDWATER CA                 AV,N Hollywood,293
MANCHESTER,Southeast,292
AVALON                       BL,77th Street,290
OVERLAND                     AV,West LA,290
JEFFERSON                    BL,Newton,290
DENKER                       AV,77th Street,289
WILSHIRE,Olympic,289
7TH,Central,288
ARLINGTON,Southwest,288
NORMANDIE,Southwest,287
DEVONSHIRE                   ST,Mission,287
CENTRAL,Southeast,287
TOPANGA CANYON,Topanga,286
WILSHIRE,West LA,286
LOS ANGELES,Central,286
PICO                         BL,Central,286
JAMES M WOOD                 BL,Olympic,285
ALAMEDA,Newton,283
39TH                         ST,Southwest,282
PLUMMER                      ST,Mission,282
CESAR E CHAVEZ               AV,Central,282
SUNSET,West LA,281
MARIPOSA                     AV,Olympic,280
MAIN,Central,280
CORBIN                       AV,Topanga,279
41ST                         ST,Newton,279
LA TUNA CANYON               RD,Foothill,279
CATALINA                     ST,Olympic,279
NORDHOFF,Devonshire,278
WASHINGTON,Newton,277
LOUISE                       AV,West Valley,276
6TH,Central,276
CHANDLER                     BL,N Hollywood,275
GLENDALE,Northeast,274
SAN PEDRO                    ST,Central,273
OVERLAND                     AV,Pacific,273
SUNSET,Rampart,271
VERNON,Southwest,270
HILL                         ST,Newton,270
HYPERION                     AV,Northeast,269
ROSSMORE                     AV,Wilshire,269
LANKERSHIM,N Hollywood,269
ALAMEDA,Central,269
RAMPART                      BL,Rampart,269
IMPERIAL,Southeast,268
GLENDALE                     BL,Rampart,268
GOWER                        ST,Hollywood,268
54TH                         ST,Newton,268
WILMINGTON                   BL,Harbor,267
VIRGIL                       AV,Olympic,267
ROXFORD                      ST,Mission,267
VICTORY,Van Nuys,266
ARDMORE                      AV,Olympic,265
FOUNTAIN                     AV,Northeast,265
NEW HAMPSHIRE                AV,Olympic,264
WESTMORELAND                 AV,Olympic,263
MAIN,Newton,263
DALY                         ST,Hollenbeck,263
30TH                         ST,Southwest,262
CESAR E CHAVEZ,Hollenbeck,261
55TH                         ST,Newton,261
INGLEWOOD                    BL,Pacific,260
STADIUM                      WY,Northeast,259
BURBANK                      BL,Topanga,259
4TH                          ST,Olympic,259
MARTIN LUTHER KING JR,Southwest,258
OXNARD                       ST,Topanga,257
MARENGO                      ST,Hollenbeck,256
VAN NUYS,Mission,256
HARVARD                      BL,Olympic,256
TEMPLE,Rampart,255
AVALON,Southeast,255
SAWTELLE                     BL,Pacific,254
CENTURY                      BL,77th Street,254
FOOTHILL,Foothill,253
BELLAIRE                     AV,N Hollywood,253
HOOVER,77th Street,253
BALBOA,Devonshire,253
51ST                         ST,Newton,252
WEST                         BL,77th Street,252
48TH                         ST,77th Street,252
HOLLYWOOD                    BL,Northeast,251
COLISEUM                     ST,Southwest,249
KINGSLEY                     DR,Olympic,247
LONG BEACH                   AV,Newton,247
PICO                         BL,Rampart,245
TUJUNGA CANYON               BL,Foothill,245
VANOWEN,West Valley,245
60TH                         ST,77th Street,244
OLYMPIC,West LA,244
PLATT                        AV,Topanga,243
STATE                        ST,Hollenbeck,243
PARTHENIA,Devonshire,241
VERNON,Newton,240
WILBUR                       AV,Devonshire,240
TERRA BELLA                  ST,Mission,239
ETIWANDA                     AV,West Valley,239
BERENDO                      ST,Olympic,238
DEVONSHIRE,Devonshire,238
BARHAM                       BL,N Hollywood,236
MAPLE                        AV,Newton,236
57TH                         ST,77th Street,235
PICO,Wilshire,233
ARLINGTON                    AV,Wilshire,233
SANTA MONICA                 BL,Rampart,233
CORBIN                       AV,West Valley,232
AVALON,Newton,232
IROLO                        ST,Olympic,232
ARLINGTON                    AV,Olympic,232
FOUNTAIN,Hollywood,231
AIRPORT                      BL,Pacific,231
114TH                        ST,Southeast,231
